Filename	IsInterpolated	MeasCount	Longitude	UmtsAsnVersion1.0.0Latitude	SecCode	BroadcastCode	CenterFreq	Date	Time	ScannerID	HGT_AGL	SignalLevels
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_54_1960	54	1960	7/15/2014	16:15:08	1064135294870	10001	0	k+6GLo3MMzajZgsFET73Mw==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_192_1960	192	1960	7/15/2014	16:15:08	1064141166459	10001	0	+rMJ0wTepVT4nWdfQO0ODQ==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_38_1960	38	1960	7/15/2014	16:15:08	1064120437844	10001	0	Aopn4TPOXWtTS3Tvvt08zw==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_106_1960	106	1960	7/15/2014	16:15:08	1064128749434	10001	0	l1fHDiRmsAeKCn5zK1tKhQ==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_18_1960	18	1960	7/15/2014	16:15:08	1064130234767	10001	0	9OK/1Ne07NxpjdHCEm9v/A==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064142639485	10001	0	QLkWkh32ljxbr82tRpgQHQ==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_14_1960	14	1960	7/15/2014	16:15:08	1064162864100	10001	0	yl1tIOxVfSSihn/+SeSE2g==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_19_1960	19	1960	7/15/2014	16:15:08	1064165747177	10001	0	9/9N5QXnS6gmK4Rnsib7Cg==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_255_1960	255	1960	7/15/2014	16:15:08	1064167200305	10001	0	yiq1Q0PQdRwmxeOr7Q9hCg==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_56_1960	56	1960	7/15/2014	16:15:08	1064153749023	10001	0	omzujGrHvslS2fuoHlgyyg==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_33_1960	33	1960	7/15/2014	16:15:08	1064159789639	10001	0	GmyxmigIpOG0Q8Sqh6cGwg==
\das_output_NOT_encrypted.dmm	False	45	-78.7857819	42.7738648	Code_62_1960	62	1960	7/15/2014	16:15:08	1064160766870	10001	0	CQ7qa0jekeIO+kw+8ART7Q==
\das_output_NOT_encrypted.dmm	False	48	-78.7857819	42.7738648	Code_255_1960	255	1960	7/15/2014	16:15:08	1064148441946	10001	0	QtlpCiUuef5cP9waaxO0BQ==
\das_output_NOT_encrypted.dmm	False	49	-78.7857819	42.7738648	Code_18_1960	18	1960	7/15/2014	16:15:08	1064153807895	10001	0	4dXXS9L7SqJUBn8RE/v1ww==
\das_output_NOT_encrypted.dmm	False	49	-78.7857819	42.7738648	Code_54_1960	54	1960	7/15/2014	16:15:08	1064157863075	10001	0	RpwKdgc8sM492t1yb4jEfw==
\das_output_NOT_encrypted.dmm	False	49	-78.7857819	42.7738648	Code_47_1960	47	1960	7/15/2014	16:15:08	1064160503280	10001	0	k3rMisC2cncCdp4u/BY5OA==
\das_output_NOT_encrypted.dmm	False	49	-78.7857819	42.7738648	Code_254_1960	254	1960	7/15/2014	16:15:08	1064147293639	10001	0	W20I9LUCLnNPMWJqnfRDBw==
